Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2,Annual production
"market for electricity, high voltage",MM,SEAS,156, flat-roof , multi-Si, on roof,,,1279.36
"market for electricity, high voltage",MM,SEAS,156, flat-roof , single-Si, on roof,,,1279.36
"market for electricity, high voltage",MM,SEAS,570, open ground , CIS, on open ground,,,1327.32
"market for electricity, high voltage",MM,SEAS,570, open ground , CdTe, on open ground,,,1450.47
"market for electricity, high voltage",MM,SEAS,570, open ground , micro-Si, on open ground,,,1336.15
"market for electricity, high voltage",MM,SEAS,570, open ground , multi-Si, on open ground,,,1336.15
"market for electricity, high voltage",MM,SEAS,570, open ground , single-Si, on open ground,,,1336.15
"market for electricity, high voltage",MM,SEAS,93, slanted-roof , multi-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",MM,SEAS,93, slanted-roof , multi-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",MM,SEAS,93, slanted-roof , single-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",MM,SEAS,93, slanted-roof , single-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",PH,SEAS,156, flat-roof , multi-Si, on roof,,,1279.36
"market for electricity, high voltage",PH,SEAS,156, flat-roof , single-Si, on roof,,,1279.36
"market for electricity, high voltage",PH,SEAS,570, open ground , CIS, on open ground,,,1327.32
"market for electricity, high voltage",PH,SEAS,570, open ground , CdTe, on open ground,,,1450.47
"market for electricity, high voltage",PH,SEAS,570, open ground , micro-Si, on open ground,,,1336.15
"market for electricity, high voltage",PH,SEAS,570, open ground , multi-Si, on open ground,,,1336.15
"market for electricity, high voltage",PH,SEAS,570, open ground , single-Si, on open ground,,,1336.15
"market for electricity, high voltage",PH,SEAS,93, slanted-roof , multi-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",PH,SEAS,93, slanted-roof , multi-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",PH,SEAS,93, slanted-roof , single-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",PH,SEAS,93, slanted-roof , single-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",PH,SEAS,156, flat-roof , multi-Si, on roof,,,1279.36
"market for electricity, high voltage",PH,SEAS,156, flat-roof , single-Si, on roof,,,1279.36
"market for electricity, high voltage",PH,SEAS,570, open ground , CIS, on open ground,,,1327.32
"market for electricity, high voltage",PH,SEAS,570, open ground , CdTe, on open ground,,,1450.47
"market for electricity, high voltage",PH,SEAS,570, open ground , micro-Si, on open ground,,,1336.15
"market for electricity, high voltage",PH,SEAS,570, open ground , multi-Si, on open ground,,,1336.15
"market for electricity, high voltage",PH,SEAS,570, open ground , single-Si, on open ground,,,1336.15
"market for electricity, high voltage",PH,SEAS,93, slanted-roof , multi-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",PH,SEAS,93, slanted-roof , multi-Si, panel, mounted, on roof,1279.36
"market for electricity, high voltage",PH,SEAS,93, slanted-roof , single-Si, laminated, integrated, on roof,1279.36
"market for electricity, high voltage",PH,SEAS,93, slanted-roof , single-Si, panel, mounted, on roof,1279.36
"market for electricity, low voltage",JP,JAP,3, slanted-roof , CIS, laminated, integrated, on roof,1190.34
"market for electricity, low voltage",JP,JAP,3, slanted-roof , CdTe, panel, mounted, on roof,1201.61
"market for electricity, low voltage",JP,JAP,3, slanted-roof , micro-Si, laminated, integrated, on roof,1185.11
"market for electricity, low voltage",JP,JAP,3, slanted-roof , micro-Si, panel, mounted, on roof,1185.11
"market for electricity, low voltage",JP,JAP,3, facade , multi-Si, laminated, integrated, at building,943.61
"market for electricity, low voltage",JP,JAP,3, facade , multi-Si, panel, mounted, at building,943.61
"market for electricity, low voltage",JP,JAP,3, facade , single-Si, laminated, integrated, at building,943.61
"market for electricity, low voltage",JP,JAP,3, facade , single-Si, panel, mounted, at building,943.61
"market for electricity, low voltage",JP,JAP,3, flat-roof , multi-Si, on roof,,,1185.11
"market for electricity, low voltage",JP,JAP,3, flat-roof , single-Si, on roof,,,1185.11
"market for electricity, low voltage",JP,JAP,3, slanted-roof , CIS, panel, mounted, on roof,1190.34
"market for electricity, low voltage",JP,JAP,3, slanted-roof , CdTe, laminated, integrated, on roof,1201.61
"market for electricity, low voltage",JP,JAP,3, slanted-roof , multi-Si, laminated, integrated, on roof,1185.11
"market for electricity, low voltage",JP,JAP,3, slanted-roof , multi-Si, panel, mounted, on roof,1185.11
"market for electricity, low voltage",JP,JAP,3, slanted-roof , single-Si, laminated, integrated, on roof,1185.11
"market for electricity, low voltage",JP,JAP,3, slanted-roof , single-Si, panel, mounted, on roof,1185.11
"market for electricity, low voltage",CN-NECG,CHN,3, slanted-roof , CIS, laminated, integrated, on roof,1154.19
"market for electricity, low voltage",CN-NECG,CHN,3, slanted-roof , CdTe, panel, mounted, on roof,1162.71
"market for electricity, low voltage",CN-NECG,CHN,3, slanted-roof , micro-Si, laminated, integrated, on roof,1145.64
"market for electricity, low voltage",CN-NECG,CHN,3, slanted-roof , micro-Si, panel, mounted, on roof,1145.64
"market for electricity, low voltage",CN-NECG,CHN,3, facade , multi-Si, laminated, integrated, at building,884.83
"market for electricity, low voltage",CN-NECG,CHN,3, facade , multi-Si, panel, mounted, at building,884.83
"market for electricity, low voltage",CN-NECG,CHN,3, facade , single-Si, laminated, integrated, at building,884.83
"market for electricity, low voltage",CN-NECG,CHN,3, facade , single-Si, panel, mounted, at building,884.83
"market for electricity, low voltage",CN-NECG,CHN,3, flat-roof , multi-Si, on roof,,,1145.64
"market for electricity, low voltage",CN-NECG,CHN,3, flat-roof , single-Si, on roof,,,1145.64
"market for electricity, low voltage",CN-NECG,CHN,3, slanted-roof , CIS, panel, mounted, on roof,1154.19
"market for electricity, low voltage",CN-NECG,CHN,3, slanted-roof , CdTe, laminated, integrated, on roof,1162.71
"market for electricity, low voltage",CN-NECG,CHN,3, slanted-roof , multi-Si, laminated, integrated, on roof,1145.64
"market for electricity, low voltage",CN-NECG,CHN,3, slanted-roof , multi-Si, panel, mounted, on roof,1145.64
"market for electricity, low voltage",CN-NECG,CHN,3, slanted-roof , single-Si, laminated, integrated, on roof,1145.64
"market for electricity, low voltage",CN-NECG,CHN,3, slanted-roof , single-Si, panel, mounted, on roof,1145.64
"market for electricity, high voltage",CA-PE,CAN,156, flat-roof , multi-Si, on roof,,,817.77
"market for electricity, high voltage",CA-PE,CAN,156, flat-roof , single-Si, on roof,,,817.77
"market for electricity, high voltage",CA-PE,CAN,570, open ground , CIS, on open ground,,,1112.28
"market for electricity, high voltage",CA-PE,CAN,570, open ground , CdTe, on open ground,,,1097.81
"market for electricity, high voltage",CA-PE,CAN,570, open ground , micro-Si, on open ground,,,1127.64
"market for electricity, high voltage",CA-PE,CAN,570, open ground , multi-Si, on open ground,,,1127.64
"market for electricity, high voltage",CA-PE,CAN,570, open ground , single-Si, on open ground,,,1127.64
"market for electricity, high voltage",CA-PE,CAN,93, slanted-roof , multi-Si, laminated, integrated, on roof,817.77
"market for electricity, high voltage",CA-PE,CAN,93, slanted-roof , multi-Si, panel, mounted, on roof,817.77
"market for electricity, high voltage",CA-PE,CAN,93, slanted-roof , single-Si, laminated, integrated, on roof,817.77
"market for electricity, high voltage",CA-PE,CAN,93, slanted-roof , single-Si, panel, mounted, on roof,817.77
"market for electricity, low voltage",ER,EAF,3, slanted-roof , CIS, laminated, integrated, on roof,1759.99
"market for electricity, low voltage",ER,EAF,3, slanted-roof , CdTe, panel, mounted, on roof,1916.46
"market for electricity, low voltage",ER,EAF,3, slanted-roof , micro-Si, laminated, integrated, on roof,1728.19
"market for electricity, low voltage",ER,EAF,3, slanted-roof , micro-Si, panel, mounted, on roof,1728.19
"market for electricity, low voltage",ER,EAF,3, facade , multi-Si, laminated, integrated, at building,545.35
"market for electricity, low voltage",ER,EAF,3, facade , multi-Si, panel, mounted, at building,545.35
"market for electricity, low voltage",ER,EAF,3, facade , single-Si, laminated, integrated, at building,545.35
"market for electricity, low voltage",ER,EAF,3, facade , single-Si, panel, mounted, at building,545.35
"market for electricity, low voltage",ER,EAF,3, flat-roof , multi-Si, on roof,,,1728.19
"market for electricity, low voltage",ER,EAF,3, flat-roof , single-Si, on roof,,,1728.19
"market for electricity, low voltage",ER,EAF,3, slanted-roof , CIS, panel, mounted, on roof,1759.99
"market for electricity, low voltage",ER,EAF,3, slanted-roof , CdTe, laminated, integrated, on roof,1916.46
"market for electricity, low voltage",ER,EAF,3, slanted-roof , multi-Si, laminated, integrated, on roof,1728.19
"market for electricity, low voltage",ER,EAF,3, slanted-roof , multi-Si, panel, mounted, on roof,1728.19
"market for electricity, low voltage",ER,EAF,3, slanted-roof , single-Si, laminated, integrated, on roof,1728.19
"market for electricity, low voltage",ER,EAF,3, slanted-roof , single-Si, panel, mounted, on roof,1728.19
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
"market for electricity, high voltage",BE,WEU,570, open ground , micro-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , multi-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,570, open ground , single-Si, on open ground,,,1203.59
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, high voltage",BE,WEU,93, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,156, flat-roof , single-Si, on roof,,,991.32
"market for electricity, high voltage",BE,WEU,570, open ground , CIS, on open ground,,,1171.76
"market for electricity, high voltage",BE,WEU,570, open ground , CdTe, on open ground,,,1211.26
